backup_path,compressed_path,orig_size,comp_size,orig_codec,comp_codec,orig_resolution,comp_resolution,orig_bitrate,comp_bitrate,duration,size_diff,compression_ratio,classification
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/Halloween_Poker_Special_Skull_Jenny_Vixen_Bring_the_Heat.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/Halloween_Poker_Special_Skull_Jenny_Vixen_Bring_the_Heat.mp4,6601545959,11333850192,h264,hevc,1920x1080,1920x1080,3233409,5649277,15630.094512,-4732304233,1.716847881146441,bigger
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/Handz_Xuan_Liu_Dan_Smith_Doug_Polk_200_400_HIGH_STAKES_CASH_GAME.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/Handz_Xuan_Liu_Dan_Smith_Doug_Polk_200_400_HIGH_STAKES_CASH_GAME.mp4,13948597033,17948794930,h264,hevc,1920x1080,1920x1080,3036636,3941132,35065.057234,-4000197897,1.2867813793413212,bigger
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/He_Calls_With_WHAT_shorts.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/He_Calls_With_WHAT_shorts.mp4,25278057,24163003,h264,hevc,1080x1920,1080x1920,3263194,3106018,59.466304,1115054,0.9558884608892211,marginal
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/He_Reads_His_Soul_shorts.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/He_Reads_His_Soul_shorts.mp4,17083700,18908511,h264,hevc,1080x1920,1080x1920,2186882,2432804,58.816145,-1824811,1.1068159122438348,bigger
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/He_s_A_Poker_Savage_shorts.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/He_s_A_Poker_Savage_shorts.mp4,15707374,14686696,h264,hevc,1080x1920,1080x1920,1985516,1839739,59.326984,1020678,0.9350191827099806,good
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/Heads_Up_Poker_CHAMP_Plays_High_Stakes_Cash_5_10_25_No_Limit_Hold_em.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/Heads_Up_Poker_CHAMP_Plays_High_Stakes_Cash_5_10_25_No_Limit_Hold_em.mp4,6215141616,10337631464,h264,hevc,1920x1080,1920x1080,2996393,5073309,15844.298594,-4122489848,1.6632978140654486,bigger
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/Heads_Up_Poker_Championship_Final_Four_Players.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/Heads_Up_Poker_Championship_Final_Four_Players.mp4,9876573119,11074983534,h264,hevc,1920x1080,1920x1080,3340914,3763392,22654.362993,-1198410415,1.1213386870689557,bigger
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/Heads_Up_Showdown_With_Rampage_Doug_Polk.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/Heads_Up_Showdown_With_Rampage_Doug_Polk.mp4,8937012890,10090741882,h264,hevc,1920x1080,1920x1080,3379491,3832556,20275.36254,-1153728992,1.1290955944900736,bigger
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/Heart_Attack_Poker_5_10_Cash_Game_ft_Doug_Polk_Barstool_Mintzy_Nikki_Limo_More.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/Heart_Attack_Poker_5_10_Cash_Game_ft_Doug_Polk_Barstool_Mintzy_Nikki_Limo_More.mp4,6000566283,10226313017,h264,hevc,1920x1080,1920x1080,3047357,5292488,15035.083175,-4225746734,1.704224657258069,bigger
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/High_ACTION_10_25_Poker_Live_With_Moe_Money_T1000.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/High_ACTION_10_25_Poker_Live_With_Moe_Money_T1000.mp4,12490474766,13239839837,av1,hevc,2560x1440,2560x1440,5777099,6123824,16876.286259,-749365071,1.059994922934381,bigger
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/High_Roller_Poker_Tournament_poker_shorts.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/High_Roller_Poker_Tournament_poker_shorts.mp4,22224620,16919192,h264,hevc,1080x1920,1080x1920,3180870,2384067,53.568435,5305428,0.7612814977263953,good
/home/brian/share/orig_video_to_delete/home/brian/share/Poker_Streams/PokerAtTheLodge/High_Stakes_Poker_Players_Flopping_Full_Houses.mp4,/home/brian/share/Poker_Streams/PokerAtTheLodge/High_Stakes_Poker_Players_Flopping_Full_Houses.mp4,612083376,830638964,h264,hevc,1920x1080,1920x1080,2192449,3020471,2098.782041,-218555588,1.3570683285474494,bigger
